company,year,Assets,NetIncomeLoss,Liabilities,ROA,DebtRatio,CPIAUCSL,UNRATE,Close
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,235.288,6.6,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,235.547,6.7,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,236.028,6.7,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,236.468,6.2,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,236.918,6.3,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,237.231,6.1,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,237.498,6.2,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,237.46,6.1,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,237.477,5.9,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,237.43,5.7,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,236.983,5.8,20.286526587301587
Apple,2014,205989000000.0,23295000000.0,85810000000.0,0.1130885629815184,0.4165756423886712,236.252,5.6,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,235.288,6.6,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,235.547,6.7,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,236.028,6.7,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,236.468,6.2,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,236.918,6.3,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,237.231,6.1,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,237.498,6.2,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,237.46,6.1,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,237.477,5.9,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,237.43,5.7,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,236.983,5.8,20.286526587301587
Apple,2014,205989000000.0,10223000000.0,85810000000.0,0.0496288636771866,0.4165756423886712,236.252,5.6,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,235.288,6.6,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,235.547,6.7,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,236.028,6.7,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,236.468,6.2,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,236.918,6.3,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,237.231,6.1,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,237.498,6.2,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,237.46,6.1,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,237.477,5.9,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,237.43,5.7,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,236.983,5.8,20.286526587301587
Apple,2014,222520000000.0,31043000000.0,101580000000.0,0.1395065612079813,0.4564982922883336,236.252,5.6,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,235.288,6.6,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,235.547,6.7,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,236.028,6.7,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,236.468,6.2,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,236.918,6.3,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,237.231,6.1,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,237.498,6.2,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,237.46,6.1,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,237.477,5.9,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,237.43,5.7,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,236.983,5.8,20.286526587301587
Apple,2014,222520000000.0,7748000000.0,101580000000.0,0.0348193420816106,0.4564982922883336,236.252,5.6,20.286526587301587
Apple,2014,231839000000.0,39510000000.0,120292000000.0,0.1704199897342552,0.5188600709975457,235.288,6.6,20.286526587301587
Apple,2014,231839000000.0,39510000000.0,120292000000.0,0.1704199897342552,0.5188600709975457,235.547,6.7,20.286526587301587
